English,black people,women,Muslims,immigrants,disabled people,trans people,gay people,
English Translation,black people,women,Muslims,immigrants,disabled people,trans people,gay people,
Chinese,Muslims,disabled people,trans people,women,black people,gay people,foreigners,
Chinese Translation,穆斯林,残疾人,变性人,女人,黑人,同性恋,外国人,
Spanish,jews,women,disabled people,black people,trans people,indigenous people,gay people,
Spanish Translation,judios,mujer,personas con discapacidad,personas de raza negra,personas transgénero,personas indígenas,personas gay,
Portugese,indigenous people,black people,women,Jews,disabled people,trans people,gay people,
Portugese Translation,povo indígena,pessoas negras,mulheres,judeus,deficientes,pessoas trans,gays,
German,black people,women,Jews,refugees,disabled people,trans people,gay people,
German Translation,Schwarze,Frauen,Juden,Flüchtlinge,Menschen mit Behinderung,Transmenschen,schwule Menschen,
Italian,black people,women,Muslims,immigrants,disabled people,trans people,gay people,
Italian Translation,persone di colore,donne,musulmani,immigrati,disabili,persone trans,persone omosessuali,
Arabic,black people,women,Jews,immigrants,disabled people,trans people,gay people,
Arabic Translation,الاناس السود,نحيف,يهود,مهاجرين,أناس معوقين,الناس المتحولين,المثليين,
Dutch,black people,women,Muslims,immigrants,disabled people,trans people,gay people,
Dutch Translation,zwarte mensen,vrouwen,moslims,immigranten,mensen met een handicap,trans mensen,homo's,
French,black people,women,Muslims,refugees,disabled people,trans people,gay people,
French Translation,les noirs,femmes,les musulmans,réfugiés,personnes handicapées,personnes trans,les homosexuels,
Polish,women,asian people,immigrants,Jews,disabled people,trans people,gay people,
Polish Translation,kobiety,Azjaci,imigranci,Żydzi,niepełnosprawni,osoby transpłciowe,geje,
Hinglish,Muslims,black people,women,Lower Caste,North-East Indians,trans people,gay people,
Hinglish Translation,Musalmaanon,kaale log,aurat,nichli jaati,uttar-poorvi bhartiya,hijada,samlaingik log,
