,Language,Corpus_Size,Monolingual,Mono_Pvalue,Multilingual,Multi_Pvalue,Diff_in_Scores,MonoModel_Size,MultiModel_Size,Mono_token_len,Multi_token_len,Mono_Sig,Multi_Sig
0,ar,595,38.27,1.1574192468306352e-08,44.18,0.1441484248100814,-5.91,135258880,167463831,13,18,Significant,Not Significant
1,de,588,35.0,8.051143914526849e-12,45.95,0.0853201642354621,-10.95,109960318,167463831,14,16,Significant,Not Significant
2,du,588,38.59,0.000138127826963,35.81,5.5377756757246114e-08,2.78,109169017,167463831,14,16,Significant,Significant
3,en,476,48.75,0.5254280008505966,40.4,0.0001443903760927,8.35,109514298,167463831,13,13,Not Significant,Significant
4,es,560,48.46,0.6740550539155759,46.76,0.170043213743375,1.7,109883418,167463831,14,16,Not Significant,Not Significant
5,fr,567,39.51,0.0001316895095472,42.86,0.0105443305669727,-3.35,110650880,167463831,17,18,Significant,Significant
6,it,567,40.79,0.0216951029354635,39.42,0.0001535213237632,1.37,109960318,167463831,13,16,Significant,Significant
7,po,648,41.78,0.0001439298564971,36.29,1.1448510321623785e-08,5.49,132182880,167463831,14,18,Significant,Significant
8,pt,581,50.3,0.5556897902827946,41.34,2.7773073747442987e-05,8.96,135258880,167463831,12,14,Not Significant,Significant
9,zh,574,49.2,0.867020965182346,45.92,0.0134211874305191,3.28,102290312,167463831,17,17,Not Significant,Significant
